Latitude,Longtitude,Noise (PLdB)
13,-144,80.03504098383215
13,-143,80.14224496219661
13,-142,80.37218242957914
13,-141,80.97795051299045
13,-140,80.28411746470513
13,-139,79.63605886943662
13,-138,79.4888463268879
13,-137,79.3910664147229
13,-136,79.56671028538798
13,-135,80.28066791114357
13,-134,81.0223902902359
13,-133,81.44227119348696
13,-132,82.31143990620768
13,-131,82.52013999280668
13,-130,82.86894560079229
13,-129,83.15312193206422
13,-128,82.92887147736482
13,-127,82.14690084720203
13,-126,82.20124961130058
13,-125,82.17000377617377
13,-124,80.60975541825721
13,-123,80.7770254380395
13,-122,80.88502392274535
13,-121,83.20972610761005
13,-120,85.72342035516553
13,-119,86.43523643013516
13,-118,86.3022548318907
13,-117,85.96276364195707
13,-116,85.74438951677038
13,-115,85.2391693294937
13,-114,85.07940109515516
13,-113,86.59380848954119
13,-112,85.77753038257342
13,-111,85.35564595532794
13,-110,84.54321702931364
13,-109,83.82488977396868
13,-108,83.35850070384117
13,-107,84.67530633590846
13,-106,86.33446441930056
13,-105,87.08138882856554
13,-104,87.82697455677398
13,-103,88.04864336031088
13,-102,87.92673268363654
13,-101,87.63084961498262
13,-100,87.24373610210387
13,-99,86.92140271704481
13,-98,87.11179518202596
13,-97,87.5769072089031
13,-96,87.48733019029805
13,-95,87.2477407444805
13,-94,87.25657090120282
13,-93,87.3309054571044
13,-92,87.24491629626783
13,-91,87.0202338872503
13,-90,87.07251325873325
13,-89,87.29372288137444
13,-88,86.3333718462932
13,-87,84.74439952909151
13,-86,83.73445107745776
13,-85,82.83263097256284
13,-84,82.81209597866678
13,-83,82.03923154887329
13,-82,81.14496091628072
13,-81,81.49309724589463
13,-80,81.55548513038502
13,-79,81.6541949224316
13,-78,81.99268727152595
13,-77,81.94611994980833
13,-76,82.18600587101781
13,-75,82.18768736695876
13,-74,81.98456988559705
13,-73,82.00330180269486
13,-72,82.29347264284806
13,-71,82.79637105881903
13,-70,83.9812232918067
13,-69,83.34000408037777
13,-68,83.49772396947077
13,-67,83.26454980332636
13,-66,84.52807482047704
13,-65,86.28219708306099
13,-64,86.87616286379247
13,-63,85.73409811932854
13,-62,85.17175912124794
13,-61,84.83861399014654
13,-60,85.2394533776241
13,-59,86.85334426305553
13,-58,87.4311805906521
13,-57,86.93891827317364
13,-56,84.85140026034475
13,-55,83.26468670815291
13,-54,82.94999016554848
13,-53,81.73213174505776
14,-144,79.15571351037417
14,-143,79.18495419625486
14,-142,78.75654353908371
14,-141,79.45273850086261
14,-140,80.00331552812919
14,-139,79.61420296903495
14,-138,79.28818087986915
14,-137,79.07443107359228
14,-136,79.20442426211758
14,-135,79.6353951475077
14,-134,80.13288564148363
14,-133,80.52730824257175
14,-132,81.21844584969719
14,-131,81.57825506320484
14,-130,81.86027213255832
14,-129,82.13650709243336
14,-128,81.96781601273324
14,-127,82.03750612721312
14,-126,82.0336148756417
14,-125,81.4420816762709
14,-124,81.65747800493484
14,-123,81.47858455772739
14,-122,80.55773709357389
14,-121,80.6640986936589
14,-120,82.98177241589302
14,-119,84.01732878576422
14,-118,84.3737850650042
14,-117,84.27971772610493
14,-116,84.25276513462396
14,-115,84.35085760429217
14,-114,85.02647930897629
14,-113,85.46922421921269
14,-112,85.6957784807993
14,-111,85.36184376219327
14,-110,84.33160967016516
14,-109,82.98933073934423
14,-108,82.62848471731115
14,-107,83.1630200051276
