Latitude,Longtitude,Noise (PLdB)
13,-144,80.29757696410525
13,-143,80.41844680139886
13,-142,80.65324179422058
13,-141,81.25309641073888
13,-140,80.56714507863454
13,-139,79.90471677511258
13,-138,79.70318821477676
13,-137,79.58646594005636
13,-136,79.74770823533541
13,-135,80.47254859358307
13,-134,81.19510886572303
13,-133,81.60714026250041
13,-132,82.43326414213676
13,-131,82.60307566965308
13,-130,82.95871680172806
13,-129,83.22064123307331
13,-128,82.95893496383798
13,-127,82.09550116501772
13,-126,82.06444354824613
13,-125,82.01883297946547
13,-124,80.38465116880806
13,-123,80.52210262833698
13,-122,80.68904830996246
13,-121,83.03344650307875
13,-120,85.49248587243167
13,-119,86.13154219212952
13,-118,85.96578509345007
13,-117,85.60265437252704
13,-116,85.38243694607237
13,-115,84.90678609793736
13,-114,84.72402778751223
13,-113,86.15599201896401
13,-112,85.39404353637416
13,-111,84.96413819400829
13,-110,84.18679298844779
13,-109,83.49425241226433
13,-108,83.0533109184401
13,-107,84.35916144801179
13,-106,85.99896974700823
13,-105,86.754364994778
13,-104,87.47137331090735
13,-103,87.68061838745882
13,-102,87.62004923059051
13,-101,87.37942709695164
13,-100,87.02014451874359
13,-99,86.74128771199808
13,-98,86.95980501768386
13,-97,87.32886160421829
13,-96,87.2088924688559
13,-95,86.96969368311477
13,-94,86.95558226210522
13,-93,87.02799325358701
13,-92,86.92786659492856
13,-91,86.77559863473306
13,-90,86.88468005346323
13,-89,87.13114521205436
13,-88,86.21295137408453
13,-87,84.67983366848121
13,-86,83.6990122899792
13,-85,82.82907136554763
13,-84,82.82118487636743
13,-83,82.08953353727802
13,-82,81.26913564855383
13,-81,81.69774844338212
13,-80,81.83170125207215
13,-79,81.90938389798256
13,-78,82.27716963691252
13,-77,82.29015060377678
13,-76,82.60229922581019
13,-75,82.70412866094557
13,-74,82.58965938018761
13,-73,82.66768413755979
13,-72,82.96019832739782
13,-71,83.42598546763233
13,-70,84.56397495236556
13,-69,83.88901028831611
13,-68,84.04115730891081
13,-67,83.79011974953373
13,-66,84.94972816083902
13,-65,86.70399101451181
13,-64,87.30665888743847
13,-63,86.19161991582519
13,-62,85.58276328902393
13,-61,85.24991967904643
13,-60,85.61413071652206
13,-59,87.23264021602918
13,-58,87.79883363660136
13,-57,87.26034116327178
13,-56,85.21238578943039
13,-55,83.66304708542782
13,-54,83.3321179438907
13,-53,82.0577885221218
14,-144,79.46805999866052
14,-143,79.52817366494813
14,-142,79.12058561144971
14,-141,79.8421733058858
14,-140,80.3717723461337
14,-139,79.94145428548958
14,-138,79.57322574988316
14,-137,79.31720981108438
14,-136,79.43703716891872
14,-135,79.87847915894271
14,-134,80.35220328339562
14,-133,80.73665570925112
14,-132,81.40207069184679
14,-131,81.7071994512339
14,-130,81.95111951423033
14,-129,82.18447421526565
14,-128,81.966111170476
14,-127,81.9726132353859
14,-126,81.95389664930673
14,-125,81.34927887272367
14,-124,81.5541205487271
14,-123,81.33494664986408
14,-122,80.34965832649564
14,-121,80.48314045946123
14,-120,82.80759090020862
14,-119,83.84808715567226
14,-118,84.1863900441461
14,-117,84.06289674836043
14,-116,84.0574329130895
14,-115,84.16253719635063
14,-114,84.80695881500085
14,-113,85.1903065561915
14,-112,85.37270442471274
14,-111,85.0096856403488
14,-110,84.0462886224542
14,-109,82.76906258286348
14,-108,82.38990648089649
14,-107,82.86850128856591
14,-106,84.8323535908945
14,-105,85.7581268280692
14,-104,86.25260585455578
14,-103,87.05021281994156
14,-102,87.31752224689151
14,-101,87.58662056181478
14,-100,87.38284280191105
14,-99,87.19049043093509
14,-98,87.34029928361808
14,-97,87.19381923114943
14,-96,87.17493958280687
14,-95,87.37062456189281
14,-94,87.33861201748212
14,-93,87.1838600655483
14,-92,87.26928733186723
14,-91,87.09059164074583
14,-90,87.33481833015574
14,-89,86.87840767584653
14,-88,87.57413112618715
14,-87,85.12314748640361
14,-86,84.4380678498539
14,-85,83.87359877389324
14,-84,83.2909609148924
14,-83,82.15148822619888
14,-82,80.9226106161876
14,-81,81.16862026762169
14,-80,81.1687005900241
14,-79,81.32943137115755
14,-78,82.09962431229306
14,-77,82.4495368084863
14,-76,82.6540700910714
14,-75,82.48995403607624
14,-74,82.16311687206719
14,-73,81.57104858406947
14,-72,81.7820879282514
14,-71,82.05850468122006
14,-70,82.06696335249063
14,-69,82.62117187727318
14,-68,82.14387058379964
14,-67,82.94038959227666
14,-66,84.16266312052707
14,-65,84.92934442714056
14,-64,84.48333431374508
14,-63,85.04049433930273
14,-62,85.86487930405396
14,-61,85.55334926319505
14,-60,84.62313896073877
14,-59,85.91183152914195
14,-58,86.0692197787401
14,-57,85.42494228503028
14,-56,83.95370102125631
14,-55,83.31433847541038
14,-54,82.94008736445942
14,-53,81.89855213847483
15,-144,80.86999174964973
15,-143,80.47080006993781
15,-142,79.79661973846154
15,-141,79.87180695100079
15,-140,79.22366009093429
