51.93,-10.25,886.0,1185,-3.7,-18.7,30,0.99,52,23,278.9,282.0,279.1
51.93,-10.25,649.0,3583,-16.8,-59.5,1,0.02,60,25,290.1,290.2,290.1
51.93,-10.25,415.0,6795,-35.7,-56.7,10,0.04,35,52,305.3,305.5,305.3
51.93,-10.25,242.0,10357,-57.1,-74.1,10,0.01,10,74,324.1,324.1,324.1
51.93,-10.25,150.0,13390,-57.1,-87.1,1,0.00,340,43,371.5,371.5,371.5
51.93,-10.25,72.0,18025,-60.7,-89.7,1,0.00,330,19,450.5,450.5,450.5
51.93,-10.25,42.3,21321,-61.5,-90.5,1,0.00,261,38,522.5,522.5,522.5
51.93,-10.25,15.4,27536,-61.5,-90.5,1,0.01,248,79,697.4,697.5,697.4
68.7,-52.85,915.0,627,-10.1,-11.3,91,1.77,89,17,269.8,274.8,270.1
68.7,-52.85,780.0,1859,-10.9,-33.8,13,0.28,255,1,281.6,282.5,281.6
68.7,-52.85,584.0,4020,-24.4,-28.2,71,0.65,200,11,290.0,292.1,290.1
68.7,-52.85,457.0,5774,-36.3,-39.1,75,0.28,195,18,296.2,297.2,296.2
68.7,-52.85,347.0,7619,-50.4,-54.9,59,0.06,215,18,301.5,301.7,301.5
68.7,-52.85,254.0,9601,-62.1,-71.1,29,0.01,225,27,312.2,312.2,312.2
68.7,-52.85,197.0,11153,-63.9,-78.2,13,0.00,245,26,332.9,332.9,332.9
68.7,-52.85,80.0,16562,-74.4,-88.5,10,0.00,240,32,409.0,409.0,409.0
68.7,-52.85,41.0,20389,-81.4,-91.7,17,0.00,240,31,477.6,477.7,477.6
68.7,-52.85,16.0,25665,-80.2,-93.5,10,0.00,270,26,628.8,628.8,628.8
61.15,-45.43,978.0,5,0.2,-9.8,47,1.87,60,47,275.1,280.5,275.4
61.15,-45.43,896.0,701,-2.5,-12.5,46,1.64,55,53,279.3,284.1,279.6
61.15,-45.43,695.0,2652,-18.3,-18.4,99,1.30,100,53,282.8,286.7,283.0
61.15,-45.43,637.0,3302,-17.8,-24.8,54,0.81,120,76,290.5,293.1,290.6
