Latitude,Longtitude,Pressure [hPa],Height [m],Temperature [C],Relative Humidity [%],Wind Direction [deg],Wind Speed [knot]
51.93,-10.25,1185,886.0,-3.7,30,52,23
51.93,-10.25,3583,649.0,-16.8,1,60,25
51.93,-10.25,6795,415.0,-35.7,10,35,52
51.93,-10.25,10357,242.0,-57.1,10,10,74
51.93,-10.25,13390,150.0,-57.1,1,340,43
51.93,-10.25,18025,72.0,-60.7,1,330,19
51.93,-10.25,21321,42.3,-61.5,1,261,38
51.93,-10.25,27536,15.4,-61.5,1,248,79
68.7,-52.85,627,915.0,-10.1,91,89,17
68.7,-52.85,1859,780.0,-10.9,13,255,1
68.7,-52.85,4020,584.0,-24.4,71,200,11
68.7,-52.85,5774,457.0,-36.3,75,195,18
68.7,-52.85,7619,347.0,-50.4,59,215,18
68.7,-52.85,9601,254.0,-62.1,29,225,27
68.7,-52.85,11153,197.0,-63.9,13,245,26
68.7,-52.85,16562,80.0,-74.4,10,240,32
68.7,-52.85,20389,41.0,-81.4,17,240,31
68.7,-52.85,25665,16.0,-80.2,10,270,26
61.15,-45.43,5,978.0,0.2,47,60,47
61.15,-45.43,701,896.0,-2.5,46,55,53
61.15,-45.43,2652,695.0,-18.3,99,100,53
61.15,-45.43,3302,637.0,-17.8,54,120,76
61.15,-45.43,6936,383.0,-41.3,96,139,31
61.15,-45.43,9557,255.0,-62.3,29,100,45
61.15,-45.43,11283,194.0,-56.5,15,170,19
61.15,-45.43,13655,133.0,-60.5,12,175,29
61.15,-45.43,19352,51.4,-77.3,16,225,65
65.6,-37.63,266,984.0,-7.7,42,25,18
65.6,-37.63,2034,779.0,-18.9,84,80,35
65.6,-37.63,5270,500.0,-27.3,71,165,22
65.6,-37.63,10013,245.0,-64.6,43,215,58
65.6,-37.63,12979,151.0,-63.7,24,235,32
66.86,-162.63,305,962.5,-6.8,62,105,35
66.86,-162.63,1228,856.0,-3.7,23,160,2
66.86,-162.63,2134,762.8,-5.5,8,120,16
66.86,-162.63,2972,685.0,-9.7,24,113,18
66.86,-162.63,4267,577.4,-17.6,33,105,21
66.86,-162.63,5791,469.1,-27.2,20,130,19
66.86,-162.63,6920,400.0,-35.9,49,100,21
66.86,-162.63,7913,346.0,-43.5,51,104,31
66.86,-162.63,10020,250.0,-60.7,26,95,39
66.86,-162.63,11765,187.0,-73.1,29,128,31
66.86,-162.63,12517,165.0,-63.7,18,161,16
66.86,-162.63,14222,125.0,-59.9,6,211,33
66.86,-162.63,18288,65.7,-55.7,1,230,71
66.86,-162.63,22204,35.7,-50.1,1,239,98
66.86,-162.63,25028,23.2,-46.1,1,245,107
66.86,-162.63,28056,14.7,-46.7,1,246,114
66.86,-162.63,29870,11.2,-39.5,1,250,134
66.86,-162.63,33120,7.0,-36.9,1,260,169
