Latitude,Longtitude,Pressure [hPa],Height [m],Temperature [C],Relative Humidity [%],Wind Direction [deg],Wind Speed [knot]
64.5,-165.43,433,941.0,-4.3,42,120,38
64.5,-165.43,1073,868.0,-4.3,80,127,30
64.5,-165.43,2275,744.0,-10.9,80,125,42
64.5,-165.43,2741,700.0,-13.5,83,125,40
64.5,-165.43,3924,599.0,-16.5,14,123,40
64.5,-165.43,5889,458.0,-28.7,13,116,61
64.5,-165.43,7504,363.0,-42.3,23,105,73
64.5,-165.43,9905,251.0,-59.3,9,110,75
64.5,-165.43,11278,200.7,-63.7,13,115,42
64.5,-165.43,12803,157.0,-57.9,3,155,27
64.5,-165.43,15640,100.0,-54.1,1,220,43
64.5,-165.43,19066,58.6,-50.5,1,227,69
64.5,-165.43,23165,31.2,-51.1,1,230,101
64.5,-165.43,25867,20.8,-44.5,1,240,98
64.5,-165.43,28077,15.0,-38.5,1,236,102
64.5,-165.43,31083,9.7,-34.6,1,240,140
60.78,-161.84,914,882.5,-3.0,91,195,34
60.78,-161.84,2365,733.0,-10.5,91,189,25
60.78,-161.84,3048,670.3,-14.0,38,190,29
60.78,-161.84,3962,593.8,-19.3,50,195,23
60.78,-161.84,5486,481.6,-30.3,35,205,15
60.78,-161.84,6780,400.0,-40.3,61,175,19
60.78,-161.84,8573,305.0,-52.7,48,115,46
60.78,-161.84,9840,250.0,-57.5,10,115,45
60.78,-161.84,11209,201.0,-59.1,8,134,36
60.78,-161.84,13255,146.0,-52.1,5,195,31
60.78,-161.84,15240,107.3,-51.1,6,200,38
60.78,-161.84,18593,64.3,-50.6,6,230,46
60.78,-161.84,20773,46.1,-48.1,7,225,73
60.78,-161.84,23226,31.9,-47.9,8,239,63
60.78,-161.84,27432,17.0,-42.2,5,235,89
60.78,-161.84,29870,12.0,-34.4,3,250,112
62.96,-155.61,171,979.0,-19.3,88,31,3
62.96,-155.61,680,916.0,-5.5,58,117,19
62.96,-155.61,1524,823.4,-5.8,59,210,17
62.96,-155.61,2723,705.0,-13.9,74,161,11
62.96,-155.61,3742,616.0,-16.3,32,126,25
62.96,-155.61,5280,500.0,-26.5,42,120,24
62.96,-155.61,7570,360.0,-41.7,5,105,52
62.96,-155.61,9940,250.0,-59.9,30,100,47
62.96,-155.61,11393,198.0,-59.1,8,130,21
62.96,-155.61,13066,152.0,-57.1,1,175,24
62.96,-155.61,14021,130.8,-56.0,1,210,17
62.96,-155.61,15240,108.2,-52.0,1,225,42
62.96,-155.61,17983,71.0,-48.5,1,240,45
62.96,-155.61,20726,46.6,-48.9,1,235,78
62.96,-155.61,23640,30.0,-47.7,1,240,73
62.96,-155.61,27160,17.7,-45.3,1,254,88
64.81,-147.88,187,980.0,-8.7,85,27,3
64.81,-147.88,789,907.0,-4.7,42,98,12
64.81,-147.88,1829,794.7,-5.9,47,35,4
64.81,-147.88,3103,674.0,-12.7,36,118,15
64.81,-147.88,4151,587.0,-17.9,14,112,12
64.81,-147.88,5486,489.3,-27.1,53,60,22
64.81,-147.88,6739,410.0,-35.7,28,71,11
64.81,-147.88,8295,326.0,-47.5,39,51,28
64.81,-147.88,10000,250.0,-61.3,22,60,33
64.81,-147.88,11033,211.0,-62.3,16,41,18
64.81,-147.88,12373,170.0,-56.1,6,185,13
64.81,-147.88,14033,131.0,-55.1,1,238,32
64.81,-147.88,15770,100.0,-54.1,1,245,42
64.81,-147.88,17983,71.0,-49.0,1,250,54
64.81,-147.88,20659,47.1,-51.9,1,258,61
64.81,-147.88,23774,29.2,-51.2,1,250,80
64.81,-147.88,26521,19.2,-47.1,1,265,97
64.81,-147.88,28442,14.4,-40.9,1,267,115
64.81,-147.88,31230,9.6,-39.7,1,272,126
