Latitude,Longtitude,Pressure [hPa],Height [m],Temperature [C],Relative Humidity [%],Wind Direction [deg],Wind Speed [knot]
,,975.0,348.0,23.4,77.0,71.0,25.0
,,950.0,574.0,21.2,83.0,72.0,26.0
,,925.0,805.0,19.2,89.0,74.0,26.0
,,900.0,1041.0,17.4,94.0,77.0,25.0
,,850.0,1529.0,17.5,59.0,86.0,20.0
,,800.0,2048.0,17.2,38.0,88.0,17.0
,,750.0,2595.0,13.6,56.0,94.0,15.0
,,700.0,3173.0,10.1,70.0,99.0,14.0
,,650.0,3786.0,6.8,51.0,93.0,11.0
,,600.0,4439.0,2.8,61.0,116.0,8.0
,,550.0,5138.0,-1.8,87.0,159.0,8.0
,,500.0,5893.0,-4.1,8.0,103.0,3.0
,,450.0,6717.0,-8.6,15.0,53.0,6.0
,,400.0,7617.0,-15.5,18.0,25.0,7.0
,,350.0,8608.0,-23.5,26.0,343.0,12.0
,,300.0,9715.0,-32.0,39.0,320.0,22.0
,,250.0,10978.0,-41.1,43.0,294.0,45.0
,,200.0,12454.0,-53.1,51.0,286.0,59.0
,,150.0,14249.0,-65.9,45.0,283.0,61.0
,,100.0,16630.0,-77.2,52.0,282.0,26.0
15.0000,-144.0000,1014.8,0.0,26.2,78.0,76.0,21.0
,,1000.0,129.0,25.1,74.0,77.0,25.0
,,975.0,351.0,23.1,78.0,78.0,27.0
,,950.0,578.0,21.1,84.0,79.0,28.0
,,925.0,809.0,19.2,89.0,80.0,28.0
,,900.0,1044.0,17.2,94.0,81.0,27.0
,,850.0,1532.0,17.4,58.0,84.0,22.0
,,800.0,2050.0,16.5,50.0,89.0,17.0
,,750.0,2596.0,13.1,59.0,105.0,14.0
,,700.0,3173.0,10.0,40.0,118.0,11.0
,,650.0,3785.0,6.7,26.0,144.0,4.0
,,600.0,4437.0,2.8,42.0,201.0,5.0
,,550.0,5136.0,-1.1,36.0,188.0,8.0
,,500.0,5891.0,-4.0,7.0,111.0,5.0
,,450.0,6714.0,-9.0,18.0,90.0,7.0
,,400.0,7613.0,-15.8,23.0,53.0,4.0
,,350.0,8604.0,-23.9,43.0,336.0,8.0
,,300.0,9708.0,-32.6,69.0,305.0,19.0
,,250.0,10969.0,-41.1,61.0,279.0,49.0
,,200.0,12446.0,-53.0,58.0,271.0,62.0
,,150.0,14240.0,-66.0,49.0,277.0,65.0
,,100.0,16624.0,-76.7,47.0,280.0,27.0
15.0000,-143.0000,1014.9,0.0,26.2,77.0,76.0,20.0
,,1000.0,130.0,25.1,72.0,76.0,24.0
,,975.0,352.0,23.0,77.0,77.0,26.0
,,950.0,578.0,21.0,83.0,77.0,27.0
,,925.0,809.0,19.0,90.0,78.0,27.0
,,900.0,1044.0,17.0,96.0,80.0,27.0
,,850.0,1532.0,17.2,55.0,83.0,23.0
,,800.0,2050.0,17.0,41.0,88.0,17.0
,,750.0,2597.0,13.4,58.0,102.0,15.0
,,700.0,3174.0,10.0,55.0,113.0,12.0
,,650.0,3786.0,6.6,33.0,131.0,5.0
,,600.0,4438.0,2.8,37.0,213.0,4.0
,,550.0,5137.0,-1.1,34.0,203.0,8.0
,,500.0,5893.0,-4.0,7.0,101.0,3.0
,,450.0,6716.0,-9.0,19.0,66.0,5.0
,,400.0,7615.0,-15.8,20.0,20.0,6.0
,,350.0,8605.0,-23.9,35.0,336.0,11.0
,,300.0,9711.0,-32.4,52.0,310.0,21.0
,,250.0,10972.0,-41.1,50.0,287.0,48.0
,,200.0,12448.0,-53.2,59.0,278.0,63.0
,,150.0,14241.0,-66.0,46.0,280.0,64.0
,,100.0,16626.0,-77.0,50.0,282.0,29.0
15.0000,-142.0000,1015.1,0.0,26.4,74.0,75.0,20.0
,,1000.0,131.0,25.1,70.0,76.0,24.0
,,975.0,353.0,23.0,75.0,76.0,25.0
,,950.0,580.0,20.9,82.0,77.0,26.0
,,925.0,810.0,18.8,90.0,77.0,26.0
,,900.0,1045.0,16.9,98.0,78.0,26.0
,,850.0,1532.0,16.4,61.0,83.0,25.0
,,800.0,2050.0,17.1,34.0,85.0,19.0
,,750.0,2597.0,13.8,48.0,94.0,15.0
,,700.0,3175.0,10.0,63.0,108.0,12.0
,,650.0,3787.0,6.7,36.0,112.0,6.0
,,600.0,4440.0,2.7,39.0,207.0,4.0
,,550.0,5138.0,-1.1,38.0,214.0,7.0
,,500.0,5894.0,-3.9,7.0,57.0,1.0
,,450.0,6717.0,-8.8,19.0,33.0,5.0
,,400.0,7617.0,-15.8,19.0,3.0,7.0
,,350.0,8607.0,-23.9,28.0,335.0,13.0
,,300.0,9712.0,-32.2,38.0,317.0,24.0
,,250.0,10974.0,-41.3,44.0,294.0,47.0
,,200.0,12449.0,-53.3,61.0,285.0,66.0
,,150.0,14241.0,-65.9,42.0,283.0,62.0
,,100.0,16626.0,-76.9,49.0,283.0,30.0
