Latitude,Longtitude,Pressure [hPa],Height [m],Temperature [C],Relative Humidity [%],Wind Direction [deg],Wind Speed [knot]
b'13.0000',b'-144.0000',1011.9,0.0,27.8,76.0,72.0,5.0
,,1000.0,105.0,26.7,76.0,73.0,6.0
,,975.0,328.0,24.6,83.0,74.0,6.0
,,950.0,556.0,23.0,83.0,70.0,6.0
,,925.0,789.0,21.6,81.0,66.0,7.0
,,900.0,1027.0,20.2,81.0,66.0,7.0
,,850.0,1519.0,17.4,82.0,66.0,6.0
,,800.0,2035.0,14.9,76.0,70.0,6.0
,,750.0,2580.0,12.5,70.0,77.0,9.0
,,700.0,3157.0,9.7,74.0,81.0,10.0
,,650.0,3770.0,6.7,73.0,75.0,11.0
,,600.0,4423.0,3.1,62.0,70.0,13.0
,,550.0,5124.0,-0.8,51.0,63.0,15.0
,,500.0,5879.0,-5.0,41.0,68.0,15.0
,,450.0,6699.0,-9.5,28.0,80.0,16.0
,,400.0,7599.0,-15.2,24.0,91.0,19.0
,,350.0,8593.0,-22.6,44.0,76.0,18.0
,,300.0,9705.0,-30.9,53.0,68.0,23.0
,,250.0,10970.0,-41.4,70.0,68.0,25.0
,,200.0,12441.0,-54.3,92.0,65.0,29.0
,,150.0,14222.0,-68.4,100.0,74.0,29.0
,,100.0,16578.0,-76.1,31.0,84.0,16.0
b'13.0000',b'-143.0000',1011.9,0.0,27.7,79.0,43.0,8.0
,,1000.0,105.0,26.6,79.0,42.0,9.0
,,975.0,328.0,24.4,86.0,43.0,9.0
,,950.0,556.0,22.4,93.0,44.0,9.0
,,925.0,788.0,21.1,88.0,51.0,9.0
,,900.0,1026.0,19.9,85.0,57.0,9.0
,,850.0,1518.0,17.4,80.0,62.0,9.0
,,800.0,2035.0,15.2,67.0,78.0,9.0
,,750.0,2580.0,12.6,68.0,78.0,9.0
,,700.0,3157.0,9.8,70.0,75.0,10.0
,,650.0,3770.0,6.4,74.0,79.0,11.0
,,600.0,4422.0,2.7,70.0,80.0,14.0
,,550.0,5122.0,-1.1,58.0,74.0,15.0
,,500.0,5877.0,-5.0,41.0,73.0,16.0
,,450.0,6698.0,-9.5,30.0,84.0,16.0
,,400.0,7597.0,-15.2,30.0,90.0,21.0
,,350.0,8591.0,-22.7,54.0,79.0,19.0
,,300.0,9703.0,-30.8,61.0,63.0,22.0
,,250.0,10968.0,-41.3,75.0,60.0,25.0
,,200.0,12440.0,-54.3,98.0,64.0,28.0
,,150.0,14220.0,-68.4,100.0,72.0,28.0
,,100.0,16577.0,-76.1,31.0,85.0,16.0
b'13.0000',b'-142.0000',1011.9,0.0,27.2,80.0,55.0,11.0
,,1000.0,104.0,26.1,79.0,55.0,12.0
,,975.0,327.0,24.0,85.0,55.0,13.0
,,950.0,555.0,22.2,89.0,54.0,12.0
,,925.0,787.0,20.9,87.0,53.0,12.0
,,900.0,1024.0,19.7,87.0,52.0,12.0
,,850.0,1516.0,17.4,86.0,53.0,12.0
